id,Question,A,B,C,D,E
Set_5: q15,Which of the following organism requires fatty-  acid supplementation for growth?,Aspergillus fumigatus,Histoplasma capsulatum,Coccidioides immitis,Malassezia furfur,Candida albicans
Set_5: q16,"A 65-year-old man presents with fever, severe headache, and nuchal rigidity. Physical examination in the emer - gency department shows a Glasgow coma score of",,,,,
Set_5: q17,"Lumbar puncture reveals cloudy cerebrospinal fluid (CSF) with 1200 neutrophils/mm3, elevated protein, and decreased glucose. Which of the following is the most probable etiologic agent of this condition?",Arbovirus,Herpesvirus,Mycobacterium tuberculosis,Neisseria meningitidis,Streptococcus pneumoniae
Set_5: q18,"A 33-year-old woman presents with severe, acute, right upper quadrant abdominal pain. She had several months of bloody diarrhea. CT scan of the liver demonstrates lesions that are interpreted to be abscesses. Which of the following is the most likely cause of her illness?",Ascaris lumbricoides,Entamoeba histolytica,Enterobius vermicularis,Salmonella typhi,Shigellosis
Set_5: q19,A 2-month-old male infant is brought to the emergency room by his mother with symptoms of paroxysms of coughing and choking spells. During the examination the infant was found gasping for breath. Complete blood picture shows 84% lymphocytes. Which of the following organism is responsible for these symptoms?,Streptococcus pneumoniae,Bordetella pertussis,Streptococcus pyogenes,Klebsiella pneumoniae,Mycoplasma pneumoniae
Set_5: q20,Which of the following is transmissible between people?,Epidermophyton,Histoplasma capsulatum,Coccidioides immitis,Trichophyton rubrum,Microsporum
Set_5: q21,There is an incidental finding of a common nematode infection in a colon biopsy of a 52-year-old female day- care worker. Which of the following organism is likely to be present?,Enterobius vermicularis,Ascariasis5 Infectious Diseases 33,Giardiasis,Entamoeba histolytica,Tropheryma whipplei
Set_5: q22,A 62-year-old man presents with symptoms of high grade fever and productive cough for the last 10 days. X-ray of the chest shows areas of consolidation of the left lower lobe. Unfortunately the patient died in the hos - pital. Autopsy shows bronchopleural fistula and abscess formation with sulfur granules. Which of the following organism is responsible for this patient’s condition?,Nocardia asteroides,Staphylococcus aureus,Klebsiella pneumoniae,Actinomyces israelii,Mycobacterium kansasii
Set_5: q23,"A 35-year-old male patient with a diagnosis of acute myelogenous leukemia underwent a stem cell transplant. The patient develops fever and becomes unresponsive after 10 days. Lumbar puncture is done. CSF culture is performed and shows organisms which are catalase neg - ative, LAP positive, PVR positive, and positive for the Lancefield D antigen. Which of the following organism causing this infection?",Enterococcus species,Escherichia coli,Klebsiella pneumoniae,Streptococcus pyogenes,Staphylococcus aureus
Set_5: q24,A 59-year-old diabetic male patient with a diagnosis of acute myeloid leukemia status post bone marrow trans - plant presents with right sided facial swelling. Invasive fungus is suspected which is confirmed by fungal cul - ture. Histology shows non septate hyaline hyphae. Which of the following organisms is most likely to pro - duce these findings?,Aspergillosis,Mucor species,Zygomycota,Ascomycota,Basidiomycota
Set_5: q25,Which of the following parasites is associated with meg - aloblastic anemia?,Necator americanus,Ancylostoma duodenale,Diphyllobothrium latum,Entamoeba histolytica,Ascariasis
Set_5: q26,"A 19-year-old high school athlete presents with excruci - ating left ear pain. Physical examination shows diffused inflamed, encrusted, ear canal with weeping lesion. Which of the following organism is most likely to pro - duce these findings?",Escherichia coli,Aspergillus niger,Proteus vulgaris,Pseudomonas aeruginosa,Klebsiella pneumoniae
Set_5: q27,A 39-year-old woman presents with symptoms of inter - mittent bloody urine. A diagnosis of infection with an adult worm is suspected. This adult worm resides in the veins of the urine bladder. Which of the following is most likely to cause these clinical findings?,Schistosoma haematobium,Trematodes (flukes),Diphyllobothriasis,Strongyloidiasis,Cysticercosis
Set_5: q28,A 14-year-old male with sickle cell anemia presents with shortness of breath that has been getting worse over the past several days. Laboratory finding shows rela - tively low reticulocyte count (0.5%). Which of the fol - lowing virus is most likely to produce these findings?,Retrovirus,Parvovirus B 19,Adenovirus,Epstein–Barr virus,Calicivirus
Set_5: q29,"A 28-year-old woman with HIV infection presents with symptoms of fever, sweats, malaise, and sore throat for the last 2 weeks. Physical examination shows swollen tender cervical lymph nodes. Endoscopic examination shows plaques throughout her esophagus. Which of the following is the diagnosis related to the sore throat?",Disseminated pneumocystis carimi,Candida esophagitis,Hairy leukoplakia,Cytomegalovirus ulcers of the esophagus,Lymphoma of the esophagus
Set_5: q30,A 24-year-old recently married female with symptoms of dysuria. A urine nitrite test is negative. The bacteria is cul - tured. Biochemical tests are catalase+/coagulase-/novo - biocin resistant bacteria. Which of the following infectious agents is most likely to produce these findings?,Staphylococcus saprophyticus,Escherichia coli,Staphylococcus aureus,Pseudomonas aeruginosa,Proteus vulgaris
Set5: q31,A 10-year-old child brought to the pediatrician office with the symptoms of fever. Mother states that the fever has been occurring every 2 days. A CBC with peripheral blood smear is ordered. Peripheral blood smear shows a parasite causing the fever. What is the diagnosis?,Plasmodium ovale,Plasmodium knowlesi,Plasmodium malariae,Plasmodium vivax,Plasmodium falciparum Multiple Choice Questions 34
Set_6: q1,,,,,,
Set_6: q2,Medial calcification is seen in:,Atherosclerosis,Arteriosclerosis,Monckeberg sclerosis,Dissecting aneurysm,Malignant hypertension
Set_6: q3,Neointimal hyperplasia causes vascular graft failure as a result of hypertrophy of:,Smooth muscle cells,Endothelial cells,Collagen fibers,Elastic fibers,Epithelial cells
Set_6: q4,Atheromatous changes of blood vessels affects early in:,Kidney,Heart,Liver,Spleen,Brain
Set_6: q5,Most common cause of aortic aneurysm is:,Syphilis,Marfan's syndrome,Atherosclerosis,Congenital,HIV
Set_6: q6,Most common cause of aortic dissection is:,Hypertension,Diabetes melitus,Trauma,Marfan's syndrome,Myocardial infarction
Set_6: q7,Muscle biopsy in polyarteritis nodosa (PAN) show:,Necrotizing arteritis,Atrophy,Granulomatous lesion,Ring lesion,Fragmentation of the internal elastic lamina
Set_6: q8,Hypersensitivity vasculitis is seen most commonly in:,Post capillary venules,Arterioles,Veins,Capillaries,Elastic arteries
Set_6: q9,Hypersensitivity vasculitis is seen in which complication:,Systemic lupus erythematosus,Polyarteritis nodosa,Henoch-Schonlein purpura,Buerger’s disease,Wegener's granulomatosis
Set_6: q10,The tissue of origin of Kaposi sarcoma is:,Lymphoid,Vascular,Neural,Muscular,Bone
Set_6: q11,"A 20-year-old female presents with low grade fever, fatigue, and arthralgia. Physical examination shows absence or weak peripheral pulse of radial artery. What is the diagnosis?",Giant cell arteritis,Takayasu arteritis,Bechet syndrome,IgG4-related disease,Fibromuscular dysplasia
Set_6: q12,"A 60-year-old male presents with headache visual dis - turbance jaw claudication, sudden onset of visual changes. Laboratory findings show elevated erythrocyte sedimentation rate. What is the diagnosis?",Giant cell arteritis,Migraine headache,Polymyalgia rheumatica,Postherpetic neuralgia,Transient ischemic attack
Set_6: q13,"A middle-aged man presents with bilateral pneumonitis with nodular and cavitary pulmonary infiltrates, chronic  40 sinusitis, nasopharyngeal ulcerations, and renal disease. Laboratory findings show cytoplasmic antineutrophil cytoplasmic autoantibodies (c-ANCA). Which of the following diagnosis is most compatible with the findings in this case?",Wegener’s granulomatosis,Goodpasture’s disease,Buerger’s disease,Lupus nephritis,Postinfectious glomerulonephritis
Set_6: q14,A 32-year-old male smoker develops gangrenous toes of the left foot. His serum cholesterol level is 135 mg/ dL. What is the diagnosis?,Monckeberg’s arteriosclerosis,Severe atherosclerosis,Thromboangiitis obliterans,Giant cell arteritis,Kawasaki’s disease
Set_6: q15,"A 45-year-old man injures his left knee while skiing and undergoes arthroscopic surgery. He continues to have considerable left knee pain despite receiving analgesic medication. He spends the next few days in bed. On the fifth postoperative day, he develops acute right-sided chest pain. What is the most likely diagnosis?",Pulmonary embolism,Drug reaction,Aspiration pneumonia,Diffuse alveolar damage,Viral pneumonia
Set_6: q16,Which of the following substances is most likely to reduce serum level of cholesterol?,Apolipoprotein,Lipoprotein,Omega-3 fatty acids,C-reactive protein,Exercise
Set_6: q17,Which of the following is true about atherogenesis?,Vascular cell adhesion molecule 1 (VCAM-1),Activated endothelial cells and leukocytes release growth factors,Calcification and peripheral neovascularization,A and B,All of the above
Set_6: q18,An increase in which of the following is most likely to increase the risk for the development of cardiovascular risk?,Erythrocyte sedimentation rate (ESR),White blood cell count,C-reactive protein (CRP),Total protein,Cryoglobulin
Set_6: q19,A 52-year-old woman presents with severe headache. CT scan shows an intracranial hemorrhage. Which of the following complication is most likely to occur as a con - sequence of her condition?,Antiphospholipid syndrome,Mycotic aneurysm,Atrial myxoma,Systemic lupus erythematosus,Polymyalgia rheumatica
Set_6: q20,An exaggerated vascular response to cold temperatures or emotional stress is seen in which of the following vas - cular disorder?,Antiphospholipid syndrome,Cryoglobulinemia,Mixed connective tissue disease,Scleroderma,Raynaud’s phenomenon
Set_6: q21,Which of the following arteries is most commonly affected in Kawasaki disease?,External carotid artery,Subclavian artery,Coronary artery,Renal artery,Femoral artery
Set6: q22,"Unilateral leg swelling, warmth, erythema Homan’s sign are characteristics of which of the following vascular disease?",Lymphangitis,Deep vein thrombosis,Cellulitis,Septic thrombophlebitis,Pulmonary embolism
Set_7: q1,,,,,,
Set_7: q2,A 46-year-old woman with a history of systemic lupus erythematosus comes to the physician office due to fre - quent thromboembolic events due to a mitral valve mass. Transesophageal echocardiography demonstrated verru - cous vegetations on the mitral valve. What is the diagnosis?,Degenerative valvular disease,Rheumatic valvular disease,Infective endocarditis,Libman–Sacks endocarditis,Non-bacterial thrombotic endocarditis
Set_7: q3,What is the characteristic feature of rheumatic carditis?,Pericarditis,Endocarditis,Myocarditis,Pancarditis,Reflux carditis
Set_7: q4,What is the characteristic diagnostic histological feature of rheumatic heart disease?,Aschoff body,Bread butter pericarditis,Eosinophilic infiltration,Patchy infarction,Deep granuloma annulare
Set_7: q5,The commonest type of pericarditis in acute rheumatic fever is:,Serous pericarditis,Fibrinous pericarditis,Purulent pericarditis,Myxomatous pericarditis,Constrictive pericarditis
Set_7: q6,"A 14-year-old male died suddenly while playing basket - ball. An autopsy is performed, and a gross photograph of the heart opened to reveal the left ventricle, is shown here. What is the diagnosis?",Hypertrophic cardiomyopathy (HCM),Hypertensive heart disease,Aortic stenosis,Restrictive cardiomyopathy,Fabry disease
Set_7: q7,Gross picture of heart with marked left ventricular hypertrophy is shown below. What is the diagnosis?  46,Pheochromocytoma,Hypertension,MEN I (Wermer’s syndrome),MEN II (IIa or Sipple’s syndrome),MEN III
Set_7: q8,Tetralogy of Fallot is defined as:,Right ventricular hypertrophy,Ventricular septal defect,Pulmonary stenosis,An aorta that overrides the ventricular septal defect,All of the above
Set_7: q9,A surgically resected mitral valve has a “fish-mouth” shape due to commissural fusion. These changes are most likely the result of:,Infective endocarditis,Rheumatic heart disease,Left ventricular enlargement,Myxomatous degeneration,Papillary muscle rupture
Set_7: q10,A 22-year-old man who has multiple cutaneous xantho - mas presents to a local emergency room complaining an acute onset of chest pain while jogging. There is a family history of myocardial infarction in his 26-year-old brother and his father at young age. An EKG is done which shows ST elevation in the left precordial leads. Laboratory studies show elevated Troponin I.  Patient dies due to ventricular fibrillation. Which of the follow - ing risk factors is most likely responsible for this man’s cardiac disease?,Niemann–Pick disease,Glycogen storage disease type 1,Gaucher’s disease,Familial hypercholesterolemia,Tay–Sachs disease
Set_7: q11,A 59-year-old woman has metastatic breast carcinoma. Which of the following condition is well described phe - nomenon associated with malignancies?,Calcific valvular disease,Antiphospholipid syndrome,Acute infectious endocarditis,Atrial myxoma,Marantic endocarditis
Set_7: q12,What is the earliest microscopic sequence of changes in the heart after myocardial infarction?,Wavy myocyte fibers,Coagulative necrosis,Neutrophilic infiltrate,Macrophages,Granulation tissue
Set_7: q13,What is the most common cardiovascular manifestation associated with systemic lupus erythematosus?,Myocarditis,Cardiomyopathy,Pericarditis,Pancreatitis,Pulmonary hypertension
Set_7: q14,Rupture of the free wall of the ventricle is most common within how many days postmyocardial infarction?,48 h post-MI,24 h post-MI,3–7 days post-MI,2 weeks post-MI,3 weeks post-MI
Set_7: q15,"In order to make a morphologic diagnosis of definite myocarditis, which of the following changes are required?",Inflammatory infiltration and myocyte necrosis,Eosinophilic infiltration,Giant cells,Inflammatory infiltration,Inflammatory infiltration and fibrosis
Set_7: q16,Which of the following is associated with cardiac rhabdomyoma?,Hibernoma,Reticulohistiocytoma,Myxoma,Tuberous sclerosis,Hemangiomas
Set_7: q17,Microscopic findings intra-alveolar hemosiderin-laden macrophages are suggestive of:,Acute respiratory distress syndrome,Bacterial pneumonia,Cardiogenic pulmonary edema,Congestive heart failure,Serous pericarditis
Set_7: q18,Which of the following serum marker is used to diag - nose myocardial infarction in 3–6 h?,CK-MB,LDH,Alanine aminotransferase (ALT),Troponin I & T,Aspartate aminotransferase (AST)
Set_7: q19,Which of the following is associated with Marfan’s syndrome?7 The Heart 47,Mitral regurgitation,Pulmonary regurgitation,Mitral valve prolapse,Pulmonic stenosis,Tricuspid valve atresia
Set_7: q20,Microscopic findings of amorphous extracellular matrix with scattered stellate or globular myxoma cells within abundant mucopolysaccharide ground substances are characteristic of which cardiac tumor?,Cardiac myxoma,Cardiac rhabdomyoma,Lipoma,Primary malignant cardiac tumor,Carcinoid tumor
Set_7: q21,The congenital heart anomaly that is least likely to cause neonatal cyanosis is:,Ventricular septal defect,Tricuspid atresia,Tetralogy of fallot,Transposition of great vessels,Truncus arteriosus
Set_7: q22,What is the diagnosis regarding the disease process seen in this heart microscopic section?,Cardiac amyloidosis,Hypertensive heart disease,Hypertrophic cardiomyopathy,Glycogen storage disease,Fabry disease
Set_7: q23,"A complete atrioventricular (A V) canal defect is com - prised of an atrial septal defect, a ventricular septal defect, and a common A/V valve. This congenital car - diac anomaly is associated with which of the following medical conditions?",Zellweger syndrome,Trisomy 18,Down syndrome,Congenital hypothyroidism,DiGeorge syndrome
Set_7: q24,A 33-year-old male is brought dead to the emergency department. Autopsy shows a ruptured cerebral aneu -rysm with extensive intracranial hemorrhage. Which of the following disease is associated with this patient’s condition?,Patent ductus arteriosus,Transposition of the great arteries,Atrial septal defect,Coarctation of the aorta,Bicuspid aortic valve
Set_7: q25,A 27-year-old male patient is brought by his friends to the emergency room with severe shortness of breath. The patient dies suddenly. Troponin and CK-MB were elevated. What is the diagnosis?,Dilated cardiomyopathy (DCM),Hypertrophic cardiomyopathy,Restrictive cardiomyopathy,Acute coronary syndrome,Cardiac tamponade
Set7: q26,A 51-year-old male patient with about 2 years of dys - pnea on exertion dies in a motor vehicle accident. Autopsy shows 5 cm atrial mass. What is the diagnosis?,Angioma,Rhabdomyosarcoma,Myxoma,Liposarcoma,Teratoma
Set_8: q1,,,,,,
Set_8: q2,Paroxysmal nocturnal hemoglobinuria (PNH) is associ - ated with deficiency of:,MIRL (Membrane inhibitor of reactive lysis),DAF (Decay accelerating factor),LFA-1 (Lymphocyte function-associated antigen 1),GPI (Glycosylphosphatidylinositol) anchored proteins,LFA-3 (Lymphocyte function-associated antigen 3)
Set_8: q3,"A 20-year-old female comes to the physician office with symptoms of increased menstrual flow and easy bruis - ing. Laboratory investigations show platelet count of 26,000/mm",,,,,
Set_8: q4,A diagnosis of idiopathic thrombocytope - nic purpura (ITP) is made. Which of the following is responsible for low platelet count in ITP?,Antiplatelet antibodies,Defective platelet aggregation,Hypersplenism,Ineffective megakaryopoiesis,Mechanical trauma
Set_8: q5,A 70-year-old male presents with bone pain in the back and renal failure. Bone marrow aspirate shows abnormal blasts. Which finding is expected in the red blood cells of the peripheral blood smear?,Rouleaux formation,Schistocytes,Teardrop-shaped red cells,Dacrocytes,Bite cells
Set_8: q6,Thrombocytosis refers to an increased platelet count. Which of the following is correct statement regarding thrombocytosis?,"Platelet count of >200,000/ μL (>200 × 109/L)","Platelet count of >250,000/ μL (>250 × 109/L)","Platelet count of >350,000/ μL (>350 × 109/L)","Platelet count of >325,000/ μL (>325 × 109/L)","Platelet count of >450,000/ μL (>450 × 109/L)"
Set_8: q7,Howell–Jolly bodies are a cytopathological findings of basophilic nuclear remnants (clusters of DNA) in circu - lating erythrocytes. Howell–Jolly bodies are found in which of the following condition?,Asplenia (surgical or functional),Iron deficiency anemia,β-Thalassemia minor,Glucose-6-phosphate dehydrogenase deficiency,Megaloblastic anemia
Set_8: q8,"A 29-year-old female is scheduled for elective surgery. Screening tests for bleeding disorder are done. Prothrombin time (PT) = 13.7 s, Partial thromboplastin time (PTT) = 100 s, PTT (50:50 MIX) = 29.3 s, PTT (50:50 MIX-1 h) = 28.6 s. Which of the following factor is likely to be deficient?",Factor XII,Factor XI,Factor VIII,Factor IX,Factor X
Set_8: q9,The cytogenetic defect t(15;17) is associated with which of the following leukemia?,Chronic myeloid leukemia,Acute promyelocytic leukemia,Acute lymphoblastic leukemia,Chronic lymphocytic leukemia,Acute monocytic leukemia
Set_8: q10,"A 59-year-old female with breast cancer presents with fatigue. Complete blood count shows pancytopenia. Peripheral blood smear shows nucleated red cells, dac - rocytes, and immature granulocytes but no blasts. What is the diagnosis?  54",Acute myeloid leukemia,Myelodysplastic syndrome,Myelophthisic anemia,Chronic lymphocytic leukemia,Chronic myeloid leukemia.
Set_8: q11,"Laboratory findings of anemia, thrombocytopenia, and leukopenia are characteristic of which of the following type of anemia?",Megaloblastic anemia,Iron deficiency anemia,Aplastic anemia,Sickle cell anemia.,β Thalassemia
Set_8: q12,Ineffective erythropoiesis is characteristic of which one of the following conditions?,β Thalassemia major,Iron deficiency anemia.,Aplastic anemia,Sickle cell anemia.,Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency.
Set_8: q13,Which of the following is a poor prognostic indicator in acute lymphoblastic leukemia (ALL)?,t(4;11)(q21;q23),t(1;19)(q23;p13),t(5;14)(q31.1;q32.1),t(12;21)(p13.2;q22.1),t(v;11)(q23.3)
Set_8: q14,Macro-ovalocytes and hypersegmented neutrophils are seen in which of the following type of anemia?,Megaloblastic anemia.,Aplastic anemia,Iron deficiency anemia,Hereditary spherocytosis,Autoimmune hemolytic anemia
Set_8: q15,"Classical pentad of transient neurologic problems, fever, thrombocytopenia, microangiopathic hemolytic anemia, and acute renal failure are found in which of the follow - ing condition?",Idiopathic thrombotic thrombocytopenic purpura,Paroxysmal nocturnal hemoglobinuria,Hemolytic-uremic syndrome,Thrombotic thrombocytopenic purpura,Disseminated intravascular coagulation
Set_8: q16,Bone marrow biopsy of a 72-year-old man is shown below. What is the diagnosis?,Primary (Malignant) lymphoma of bone,Metastatic bone disease,Multiple myeloma,Monoclonal gammopathies of undetermined signifi - cance (MGUS),Waldenstrom macroglobulinemia
Set_8: q17,Schistocytes (fragmented red cells) in peripheral blood smear are characteristics of which of the following anemia?,Iron deficiency anemia,Anemia of chronic disease,Aplastic anemia,Sideroblastic anemia,Microangiopathic hemolytic anemia
Set_8: q18,Pappenheimer bodies are composed of:,Copper,Iron,Zinc,Manganese,Silicates
Set_8: q19,Basophilic stippling of red cells is found in which of the following condition?,Lead poisoning,Hemophilia,Paroxysmal nocturnal hemoglobinuria,Hemoglobin C disease,G6PD deficiency
Set_8: q20,Abnormal shaped red blood cells are found in different medical conditions. Bite cells are characteristic of which of the following condition?,G6PD deficiency8 Hematopathology of Red Blood Cells and White Blood Cells 55,Thalassemia,Hereditary spherocytosis,Sideroblastic anemia,Anemia of chronic disease
Set_8: q21,"An 8-year-old girl is brought to the emergency by her mother with symptoms of nose bleed and hematomas. Laboratory investigations show prolonged bleeding time, normal prothrombin time, and prolonged partial thromboplastin time. What is the diagnosis?",Immune thrombocytopenic purpura,V on Willebrand disease,Hemophilia A,Hemophilia B,Disseminated intravascular coagulopathy
Set_8: q22,Peripheral blood smear of a male patient is shown below. What is the diagnosis?,Anemia of chronic disease,Megaloblastic anemia,Sideroblastic anemia,Sickle cell anemia,Iron deficiency anemia
Set_8: q23,"Which of the following vitamins is an essential cofactor for gamma-glutamyl carboxylase, an enzyme that car - boxylates coagulation factors II, VII, IX, and X?",Vitamin K,Vitamin A,Vitamin D,Vitamin B-12,Thiamine (Vitamin B1)
Set_8: q24,Which of the following statements about V on Willebrand factor (vWF) is correct?,V on Willebrand factor activity is higher in adults than newborns,Patients with blood group O have the highest mean vWF levels,V on Willebrand factor activity is equal in adults and newborns,V on Willebrand factor activity is higher in newborns than adults,V on Willebrand factor is only synthesized by endo - thelial cells
Set_8: q25,"An 80-year-old male patients present with fatigue, mal - aise, and anemia. Peripheral blood smear shows increased number of normal-appearing lymphocytes. What is the diagnosis?",Chronic myelogenous leukemia,Polycythemia vera,Acute myelogenous leukemia,Chronic lymphocytic leukemia,Myelofibrosis with myeloid metaplasia
Set_8: q26,Microscopic picture is shown below. What is the diagnosis?,Langerhans cell,Giant cells,Macrophage,Megaloblastosis,Emperipolesis
Set_8: q27,Which of the following test is the best indicator of response to therapy on patients being treated for throm - botic thrombocytopenic purpura (TTP)?,Prothrombin time,Fibrinogen levels,Platelet count,Activated partial thromboplastin time,LDH level
Set_8: q28,"A 47-year-old male presents with fatigue, dyspnea and easy bruisability. Echocardiogram shows reduced left ventricular ejection. Endomyocardial biopsy is done which shows amyloid deposition. PT and aPTT values are increased. What is the diagnosis?",Factor V deficiency,Factor II deficiencyMultiple Choice Questions 56,Factor X deficiency,Factor XII deficiency,Factor VIII deficiency
Set_8: q29,Which of the following is an indicator of good prognosis for pre-B Childhood ALL?,Age of diagnosis,Hypodiploidy,Hyperdiploidy,WBC count,"(1, 19) translocation"
Set_8: q30,"Platelets are tiny, disc-shaped pieces of cells that are found in the blood. Platelets are stored at:",20–24 °C,4 °C,−20 °C,0 °C,8 °C
Set_8: q31,Which antibody is commonly elevated in Waldenstrom macroglobulinemia?,IgG,IgA,IgM,IgD,IgE
Set_8: q32,Prothrombin time (PT) is a blood test that measures the time it takes for the liquid portion (plasma) of blood to clot. Prolonged prothrombin time is seen in:,Hemophilia A,Hemophilia B,Thrombocytopenia,Factor VII deficiency,Factor XIII deficiency
Set_8: q33,Red blood cells are prepared from whole blood by removing the plasma. Shelf life of whole blood is:,35 days,120 days,7 days,85 days,100 days
Set_8: q34,"A 15-year-old male presents with fever, sore throat, and enlarged cervical lymph nodes. CBC shows total WBC of 22,",,,,,
Set_8: q35,Peripheral blood smear shows atypical lympho - cytes. Monospot test is positive. What is the diagnosis?,Infectious mononucleosis,Acute mumps,Diphtheria,Scarlet fever,Toxoplasmosis
Set_8: q36,Cabot’s ring in RBCs is seen in:,Acquired hemolytic anemia,Hemochromatosis,Thalassemia,After splenectomy,Iron deficiency anemia
Set_8: q37,Deficiency of which of the following causes hereditary spherocytosis?,Actin,Glycoprotein,Ankyrin,Band 4,G-6PD deficiency
Set_8: q38,"A 37-year-old male presents with severe fatigue, fre - quent nose bleeds, and gingival masses. The abnormal cells seen in the blood smear show tissue paper nuclei. What is the diagnosis?",Acute myelogenous leukemia,Acute monocytic leukemia,Chronic lymphocytic leukemia,Acute lymphocytic leukemia,Acute myelomonocytic leukemia
Set_8: q39,Which of the following is a marker of B or T cell acute lymphoblastic leukemia?,CD138 positivity,CD33 positivity,CD52 positivity,TdT positivity,CD10 positivity
Set_8: q40,Reticulocytes are stained by:,Wright stain,Brilliant cresyl blue,Alcian blue,Giemsa stain,Trichrome stain
Set_8: q41,Which of the following findings will be found in iron deficiency anemia?,"Decreased MCV , increased RDW","Increased MCV , increased RDW","Normal MCV , Increased RDW","Decreased MCV , decreased RDW","Normal MCV , normal RDW"
Set_8: q42,Most sensitive test for disseminated intravascular coagu - lation (DIC) is:,Platelet count,D-Dimer,Fibrinogen Degradation Products (FDP),PT,Bleeding time
Set_8: q43,PAS-positive coarse granules are found in which kind of leukemia?,Acute lymphoblastic leukemia,Acute myeloblastic leukemia,Acute promyelocytic leukemia,Chronic lymphocytic leukemia,Chronic myeloid leukemia8 Hematopathology of Red Blood Cells and White Blood Cells 57
Set_8: q44,Which of the following cytochemical stains differentiate acute myeloid leukemia (AML) from Acute lympho - blastic leukemia (ALL)?,Acid phosphatase,Nonspecific esterase,Myeloperoxidase,Toluidine blue,Giemsa stain
Set_8: q45,"A 9-year-old male child comes to the pediatrician office with symptoms of fatigue, weakness, infections, nose bleed, and gingival bleeding. Laboratory investigations show hemoglobin of 5.5 g/dL. Flow cytometry reveals biphenotypic patterns of antigen expressions. There is strong expression of CD19 and Myeloperoxidase (MPO) + ve. What is the diagnosis?",Acute lymphoblastic leukemia,Acute myeloid leukemia,Undifferentiated leukemia,Mixed phenotype acute leukemia,Chronic myelogenous leukemia
Set_8: q46,"A 49-year-old female presents with fever, fatigue, and a dragging sensation in her upper left quadrant. Complete blood count shows low hemoglobin and elevated white blood cells count. Bone marrow aspirates shows imma - ture cells, segmented neutrophils, and basophils. What is the diagnosis?",Acute lymphoblastic leukemia,Acute myeloid leukemia,Myelodysplastic syndrome,Chronic myeloid leukemia,Chronic lymphocytic leukemia
Set_8: q47,Macrocytosis of red blood cells are seen in:,Folate deficiency,Myelodysplasia,Alcoholism,Vitamin B12,All of the above
Set_8: q48,"A 72-year-old patient comes to the physician office with complaints of fatigue and low energy. Detailed  laboratory and imaging investigations were done. Serum M-protein shows <3 g/dL. Bone marrow shows plasma cells <10 percent. There are no lytic lesions, anemia, hypercalce - mia, and renal insufficiency. What is the diagnosis?",Multiple myeloma,Reactive systemic amyloidosis,Non-Hodgkin lymphoma,Monoclonal gammopathy of undetermined signifi - cance (MGUS),Waldenstrom macroglobulinemia
Set_8: q49,Peripheral blood smear of a 54-year-old patient is shown below. What is the diagnosis?,Hairy cell leukemia,Chronic lymphocytic leukemia,Myelodysplastic syndrome,Myelophthisic anemia,Primary myelofibrosis
Set_8: q50,Bence Jones proteins in the urine are found in which of the following condition?,Multiple myeloma,Waldenstrom macroglobulinemia,Mantle cell lymphoma,Acute lymphoblastic lymphoma,Chronic lymphocytic leukemia
Set_8: q51,"A 60-year-old man presents with pancytopenia, a mark - edly enlarged spleen and extramedullary hematopoiesis. He is found to have a JAK-2 mutation. What is the diagnosis?",Myelodysplastic syndrome,Chronic myeloid leukemia,Hairy cell leukemia,Chronic myelofibrosis,Acute myeloid leukemia
Set_8: q52,The combination of erythrocytosis leukocytosis and thrombocytosis along with splenomegaly is highly char - acteristic of which of the following condition?,Essential thrombocytosis,Chronic myelogenous leukemia,Primary myelofibrosis,Acute lymphoblastic leukemia,Polycythemia vera
Set_8: q53,"Cytopenias (anemia, neutropenia, thrombocytopenia) and morphological evidence of significant dysplasia in all the cell lines (erythroid, myeloid, and megakaryo - cytes) are characteristics of which of the following condition?Multiple Choice Questions 58",Myelodysplastic syndrome,Acute myelogenous leukemia,Polycythemia vera,Essential thrombocythemia,Chronic myelogenous leukemia
Set_8: q54,Which of the following lab finding would support a diagnosis of anemia of chronic disease (ACD)?,Normal serum iron,Low serum transferrin,Elevated serum ferritin,Elevated hemoglobin A2,Normal erythrocyte sedimentation rate
Set_8: q55,A 39-year-old female patient present with intractable nose bleeds. Complete blood counts show low hemoglobin and elevate in the white blood cells count (122 × 109/L). Some of the abnormal cells show thin linear structures either side of the nucleus. What is the diagnosis?,Acute myeloblastic leukemia without maturation (AML-M1),Acute monoblastic and monocytic leukemia,Acute myelomonocytic leukemia,Acute lymphoblastic leukemia,Acute megakaryoblastic leukemia (AML-M7)
Set8: q56,Bone marrow aspirate of a patient shows several blasts stained with PAS. What is the diagnosis?,Acute lymphoblastic leukemia (ALL),Acute myeloid leukemia (AML),Acute erythroid leukemia,Myelodysplastic syndrome,Pernicious anemia
